id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality
10346,台達為強化安全衛生關注度，增加員工損失工時職業傷害發生率 (LTIFR) 為 2024 年職業安全衛生關鍵績效指標，實績為 0.38 達成年度目標 0.48，較 2023 年實績 0.60 下降 37%。我們深知員工的安全與健康是企業永續經營的重要基石，因此將持續強化安全衛生控制措施，以降低職業災害發生率，為加強自我管理，設定 2025 年職業安全衛生關鍵績效指標為：,S,Yes,因此將持續強化安全衛生控制措施，以降低職業災害發生率，,between_2_and_5_years,Yes,台達為強化安全衛生關注度，增加員工損失工時職業傷害發生率 (LTIFR) 為 2024 年職業安全衛生關鍵績效指標，實績為 0.38 達成年度目標 0.48，較 2023 年實績 0.60 下降 37%。,Clear
10347,不定期公布遠傳最新消息及員工優惠於內部網站，幫助同仁瞭解公司活動動態。另外設有「同仁建議」與「申訴信箱」兩個員工回饋專區，員工回覆內容完全保密，由專責單位負責處理，為同仁抒發心聲的溝通平台。  · 2024 年「同仁建議」的回應意見共 48 件，事由聚焦於工作支持、員工體驗、薪酬與福利、其他等類型，均已在網站上公開回應處理。  · 2024 年「申訴信箱」的個案共 10 件，均依循公司規範流程分別成立專案小組進行調查與處理，並與員工妥善溝通，截至 2024 年 12 月 31 日前皆已結案。,S,Yes,設有「同仁建議」與「申訴信箱」兩個員工回饋專區，,already,Yes,2024 年「同仁建議」的回應意見共 48 件，事由聚焦於工作支持、員工體驗、薪酬與福利、其他等類型，均已在網站上公開回應處理。  2024 年「申訴信箱」的個案共 10 件，均依循公司規範流程分別成立專案小組進行調查與處理，並與員工妥善溝通，截至 2024 年 12 月 31 日前皆已結案。,Clear
10348,永續發展債券以促進 ESG 發展為目的，且經當地主管機關審核或第三方公正機構評等，需符合責任投資內涵，2024 年中信銀行承銷 7 檔永續發展債券，總額新臺幣 50.63 億元；永續發展債券投資金額新臺幣 770.37 億元。,E;S;G,Yes,永續發展債券以促進 ESG 發展為目的,already,Yes,2024 年中信銀行承銷 7 檔永續發展債券，總額新臺幣 50.63 億元；永續發展債券投資金額新臺幣 770.37 億元。,Clear
10349,為發展創新金融科技的技術應用，台新與安永諮詢服務股份有限公司、金腦數位股份有限公司等企業合作，如 2024 年台北國際金融博覽會曾以【AICG exploration 影片生成探險】、【Reliability AI 負責任的 AI】及「【綠色永續數據庫】為主題，透過邀請用戶后拍大頭照生成影片，呈現人物模型，體驗「台新腦」AI 的效能。並向用戶解釋負責任 AI 的核心意義，強調資訊安全和道德標準，確保 AI 符合治理規範，並介紹永續數據庫，以 AI 摘要分析，生成出企業的 ESG 行為，提供視覺化報告，達到異常企業之警示功能。未來台新將積極布建數位金融生態環境，並且因應新世代趨勢進行科技人才培育，以更積極、穩健的腳步，落實企業永續經營。,S,Yes,未來台新將積極布建數位金融生態環境，並且因應新世代趨勢進行科技人才培育，以更積極、穩健的腳步，落實企業永續經營。,between_2_and_5_years,Yes,如 2024 年台北國際金融博覽會曾以【AICG exploration 影片生成探險】、【Reliability AI 負責任的 AI】及「【綠色永續數據庫】為主題，透過邀請用戶后拍大頭照生成影片，呈現人物模型，體驗「台新腦」AI 的效能。並向用戶解釋負責任 AI 的核心意義，強調資訊安全和道德標準，確保 AI 符合治理規範，並介紹永續數據庫，以 AI 摘要分析，生成出企業的 ESG 行為，提供視覺化報告，達到異常企業之警示功能。,Clear
10350,"此外，各廠 ( 處 ) 亦每 2 ~ 3 個月安排與單位內同仁進行溝通座談會，並將溝通事項納入追蹤。所有新進人員於新進人員訓練中皆接受人權相關訓練，資深員工亦全數皆曾接受人權相關訓練 ( 除包含前述新進人員性騷擾防治及申訴管道宣導外，亦包含反歧視與職場不法侵害防治等內容 ) 時數 6,035 小時，計 1,491 人次受訓；另有辦理相關溝通及宣導會議，計有 10,486 小時。",S,Yes,所有新進人員於新進人員訓練中皆接受人權相關訓練，資深員工亦全數皆曾接受人權相關訓練,already,Yes,"資深員工亦全數皆曾接受人權相關訓練 ( 除包含前述新進人員性騷擾防治及申訴管道宣導外，亦包含反歧視與職場不法侵害防治等內容 ) 時數 6,035 小時，計 1,491 人次受訓；另有辦理相關溝通及宣導會議，計有 10,486 小時。",Clear
10351,萬海自 2024 年起要求供應商每年填寫供應商自評表，針對永續相關項目進行自評。除了做為評鑑的一部份外，萬海也期望透過自評表促進供應商主動審視自身的永續表現，提升對節能減排和勞工權益等議題的關注，從而推動整體供應鏈的永續發展。2024 年共有 400 家供應商完成填寫。,E;S,Yes,萬海自 2024 年起要求供應商每年填寫供應商自評表，針對永續相關項目進行自評。,already,Yes,除了做為評鑑的一部份外，萬海也期望透過自評表促進供應商主動審視自身的永續表現，提升對節能減排和勞工權益等議題的關注，從而推動整體供應鏈的永續發展。2024 年共有 400 家供應商完成填寫。,Clear
10352,亞瑞仕國際驗證股份有限公司 ( 以下簡稱亞瑞仕 ) 已受大立光電股份有限公司為相對獨立的組織，亞瑞仕除了針對企業 2024 年度永續報告書進行評估和查證意見外，與大立光電股份有限公司並無任何商業上的關係。本獨立保證意見聲明書的目的，僅作為對下列所述大立光電股份有限公司之永續報告書內容的獨立保證，亞瑞仕僅對大立光電股份有限公司負責。對於任何依據本獨立保證意見聲明書的利害相關者，則非於亞瑞仕及其所指定人員之應用，或闡述獨立保證意見聲明書的任何人，亞瑞仕並未承擔法律責任亦無承擔任何訴訟賠償之責任。,G,No,,N/A,No,,N/A
10353,2024年所受理之客戶申訴與爭議案件為104件，7天內處理完成件數87件，處理完成比例84%，高於本公司客訴處理目標60%。1. 實際客訴48件均已妥處並結案：,S,Yes,高於本公司客訴處理目標60%,already,Yes,2024年所受理之客戶申訴與爭議案件為104件，7天內處理完成件數87件，處理完成比例84%,Clear
10354,"依據 ENCORE (Exploring Natural Capital Opportunities, Risks and Exposure) 工具 (2023 年以前之版本)，盤點產業對生態系統服務之「依賴」與「影響」程度。同時參考 TNFD 的 LEAP 方法學，繪製營運與自然資本、生態系統服務之關聯圖。目前採之 LEAP 評估階段包含：定位 (Locate)、評估 (Evaluate)。評估地理範圍及廠區為：台灣廠區（智邦竹北 AI 園區、智邦新竹科學園區、竹南廠）、昊陽天宇、越南南智邦。",,Yes,"依據 ENCORE (Exploring Natural Capital Opportunities, Risks and Exposure) 工具 (2023 年以前之版本)，盤點產業對生態系統服務之「依賴」與「影響」程度。",between_2_and_5_years,Yes,同時參考 TNFD 的 LEAP 方法學，繪製營運與自然資本、生態系統服務之關聯圖。目前採之 LEAP 評估階段包含：定位 (Locate)、評估 (Evaluate)。評估地理範圍及廠區為：台灣廠區（智邦竹北 AI 園區、智邦新竹科學園區、竹南廠）、昊陽天宇、越南南智邦。,Clear
10355,日月光投控逐一確認 17 項重大議題在上游採購、日月光生產廠區、客戶使用與社區等四大衝擊階段的影響。並對應 19 個 GRI Standard 主題以及 4 個日月光自訂主題，揭露屬於日月光投控的重大議題，公開揭露重大議題之雙重重大性影響範疇、管理方針、風險描述等內容。其他非重大議題，亦同步揭露於永續報告書中。,G,Yes,逐一確認 17 項重大議題在上游採購、日月光生產廠區、客戶使用與社區等四大衝擊階段的影響。,between_2_and_5_years,Yes,並對應 19 個 GRI Standard 主題以及 4 個日月光自訂主題，揭露屬於日月光投控的重大議題，公開揭露重大議題之雙重重大性影響範疇、管理方針、風險描述等內容。其他非重大議題，亦同步揭露於永續報告書中。,Clear
10356,台塑工業 ( 寧波 ) 公司也致力於廢棄物管理並減量，主要透過末端處置進行。,E,No,,N/A,No,,N/A
10357,本公司配合金控主導之人權盡職調查，根據「聯合國工商企業與人權指導原則」之報導框架，建立人權盡職調查流程，落實人權風險管理，包括：鑑別人權議題、辨識容易受人權議題的影響對象、定期風險評估、擬定減緩及補償措施、公開揭露與提供申訴機制。於所有營運據點持續推動各個面向的減緩計畫，例如：  制度面  推動各項安全防護計畫以強化員工健康及職場安全。  輔導面  由主管協助工時較長之員工適度調配工作、加強宣導工作環境各項危害應注意事項以降低事故發生、持續宣導性騷擾防治議題等。  懲處 / 補償面  依「獎懲辦法」處分有性騷擾行為之員工、依「工作規則」提供職業災害補償與撫卹。,S,Yes,建立人權盡職調查流程，落實人權風險管理,between_2_and_5_years,Yes,包括：鑑別人權議題、辨識容易受人權議題的影響對象、定期風險評估、擬定減緩及補償措施、公開揭露與提供申訴機制。 ｜ 推動各項安全防護計畫以強化員工健康及職場安全。 ｜ 加強宣導工作環境各項危害應注意事項以降低事故發生、持續宣導性騷擾防治議題等。 ｜ 依「獎懲辦法」處分有性騷擾行為之員工、依「工作規則」提供職業災害補償與撫卹。,Clear
10358,為吸引優秀人才加入及激勵績優員工，本公司針對內勤人員每年均會依績效並參考市場薪酬水準辦理調薪，且不因性別而有差別待遇，以持續保有薪資競爭力。,S,Yes,本公司針對內勤人員每年均會依績效並參考市場薪酬水準辦理調薪，且不因性別而有差別待遇，以持續保有薪資競爭力。,already,No,,N/A
10359,在我們的衝突礦產管理流程中，需與供應商確認使用衝突礦產的原因及必要性，若為非必要使用，則會要求供應商需停止採購及使用衝突礦產，並重新選擇新的礦產來源，且提供有效的證據證明新的礦產為符合 RBA 要求之無衝突礦產。若為必要使用，則會要求供應商需提出移除計畫書或改善措施。,G,Yes,需與供應商確認使用衝突礦產的原因及必要性，若為非必要使用，則會要求供應商需停止採購及使用衝突礦產，並重新選擇新的礦產來源，且提供有效的證據證明新的礦產為符合 RBA 要求之無衝突礦產。若為必要使用，則會要求供應商需提出移除計畫書或改善措施。,between_2_and_5_years,No,,N/A
10360,TSMC ESG AWARD 為台積公司推動永續文化的核心平台，鼓勵同仁提出連結公司 ESG 五大方向的新創好點子，並表彰組織的永續實績，以永續力促進創新力，創造美好改變。,S,Yes,TSMC ESG AWARD 為台積公司推動永續文化的核心平台，鼓勵同仁提出連結公司 ESG 五大方向的新創好點子，並表彰組織的永續實績，以永續力促進創新力，創造美好改變。,already,No,,N/A
10361,瑞昱提供外訓和出差費用申請，補助全體員工（含約聘同仁）持續進修學習，提昇專業能力，其中包含國際標準大會、會員組織會議、國內外技術交流研討會、大學學分班、碩士在職專班、國內各式進修機構及線上 APP 平台的課程。2024 年瑞昱的聯合培訓計劃之教育機構合作對象包含外語機構（36 門）、業界之技術工程與特定專業機構（243 門）、政府合作課程（10 門）、國內外教授（19 門課）等超過 300 門課程，為瑞昱注入最新的技術研發新知、產業趨勢發展、學術研討成果等內容。瑞昱依據年度教育訓練計劃、瑞昱研發教育訓練課程規劃委員會討論、組織發展需求、技術專業需求、市場脈動與變化等，由內部講師開辦數位學習之 E 化課程共計 287 門。,S,Yes,瑞昱提供外訓和出差費用申請，補助全體員工（含約聘同仁）持續進修學習，提昇專業能力,already,Yes,2024 年瑞昱的聯合培訓計劃之教育機構合作對象包含外語機構（36 門）、業界之技術工程與特定專業機構（243 門）、政府合作課程（10 門）、國內外教授（19 門課）等超過 300 門課程，為瑞昱注入最新的技術研發新知、產業趨勢發展、學術研討成果等內容。瑞昱依據年度教育訓練計劃、瑞昱研發教育訓練課程規劃委員會討論、組織發展需求、技術專業需求、市場脈動與變化等，由內部講師開辦數位學習之 E 化課程共計 287 門。,Clear
10362,目標：Scope 1、2、3在 2050年達成淨零排放。    - Scope 1：  逐步汰換成 GWP 值較低之環保冷媒；車輛監控降低怠速，逐步汰換電動車。  - Scope 2：  持續節能減碳，積極布局綠能使用。2040年前，預估投入百億布局綠電及低碳設備與投資，並設定RE100綠能使用路徑分年分階段逐步達成100%再生能源使用。  - Scope 3：  協助供應商實現設定的減碳目標。,E,Yes,目標：Scope 1、2、3在 2050年達成淨零排放。,longer_than_5_years,Yes,Scope 1：  逐步汰換成 GWP 值較低之環保冷媒；車輛監控降低怠速，逐步汰換電動車。  - Scope 2：  持續節能減碳，積極布局綠能使用。2040年前，預估投入百億布局綠電及低碳設備與投資，並設定RE100綠能使用路徑分年分階段逐步達成100%再生能源使用。  - Scope 3：  協助供應商實現設定的減碳目標。,Clear
10363,中鋼產業類別屬於鋼鐵工業，主要產品為鋼板、棒線、熱軋、冷軋、電磁鋼捲、電磁鋼捲及熱浸鍍鋅鋼捲等鋼品，113 年產品 57.4% 內銷，42.6% 外銷，主要產品國內市占率逾五成，為目前國內最大鋼鐵公司；外銷主要對象為東南亞、歐洲、日本。為發揮經營綜效，中鋼進行多角化經營，業務範圍涵蓋鋼鐵、工程、工業材料、物流投資及綠能等五大事業群，價值鏈核心為中鋼本身，並涵蓋員工及協力人員，上游為礦料等原物料供應商，下游則涵蓋客戶及當地社區。,S,No,,N/A,No,,N/A
10364,"奇鋐以全球據點推動2050年再生電力100% 目標，2024 年全球據點再生電力達4.5%，總用電量為253,955 千度，其中再生電力為11,351千度。再生電力的來源分別為太陽能自發自用4,896千度（其中武漢廠區2,703千度，越南廠區2,193千度）以及非搭售型再生能源憑證6,455千度（其中深圳廠區1,080千度，東莞廠區450千度，武漢廠區4,925千度）。",E,Yes,奇鋐以全球據點推動2050年再生電力100% 目標,longer_than_5_years,Yes,"2024 年全球據點再生電力達4.5%，總用電量為253,955 千度，其中再生電力為11,351千度。再生電力的來源分別為太陽能自發自用4,896千度（其中武漢廠區2,703千度，越南廠區2,193千度）以及非搭售型再生能源憑證6,455千度（其中深圳廠區1,080千度，東莞廠區450千度，武漢廠區4,925千度）。",Clear
10365,本公司致力於保障保戶資料安全，依據外部法令及國際標準訂定內部控制制度、規範及管理機制，導入個人資料管理體系；本公司設有作業風險管理委員會，上而下督導並指示個人資料保護相關事宜，由作業風控部擔任專責個資保護管理督導單位，協助建置個人資料保護體系與制度、監督相關教育訓練、制定年度個人資料保護管理計畫，建立永續循環且落實執行之個人資料管理架構，將個人資料保護內化於所有同仁的行為中，並於內部稽核、內部自行查核範圍中加入個人資料保護相關內容，以檢視個人資料保護落實程度。,S,Yes,本公司致力於保障保戶資料安全，依據外部法令及國際標準訂定內部控制制度、規範及管理機制，導入個人資料管理體系；,between_2_and_5_years,Yes,本公司設有作業風險管理委員會，上而下督導並指示個人資料保護相關事宜，由作業風控部擔任專責個資保護管理督導單位，協助建置個人資料保護體系與制度、監督相關教育訓練、制定年度個人資料保護管理計畫，建立永續循環且落實執行之個人資料管理架構，將個人資料保護內化於所有同仁的行為中，並於內部稽核、內部自行查核範圍中加入個人資料保護相關內容，以檢視個人資料保護落實程度。,Clear
10366,國巨集團深知人才全球化趨勢，將更著重於跨國人才培育，多數公司藉由海外輸入優秀人才，國巨集團則是希望由本地輸出優秀人力到海外分公司。國巨未來人才發展策略將是透過招募、留才、培育，達到歷練不同功能別職務、跨國及跨文化的管理能力。,S,Yes,國巨未來人才發展策略將是透過招募、留才、培育，達到歷練不同功能別職務、跨國及跨文化的管理能力。,between_2_and_5_years,No,,N/A
10367,為因應氣候變遷對金融體系造成的挑戰，台新金控及旗下銀行、證券、人壽、以及各子公司，已將氣候風險納入現有的風險管理體系中，並與傳統金融風險進行整合。台新金控亦訂有永續金融政策與氣候暨自然風險管理準則，以落實評估氣候變遷可能遭受之風險衝擊，並進一步推動金控與各子公司發展妥適之氣候相關風險減緩及調適措施，提升整體對氣候相關風險之管理。,E,Yes,台新金控及旗下銀行、證券、人壽、以及各子公司，已將氣候風險納入現有的風險管理體系中，,already,Yes,台新金控亦訂有永續金融政策與氣候暨自然風險管理準則，以落實評估氣候變遷可能遭受之風險衝擊，並進一步推動金控與各子公司發展妥適之氣候相關風險減緩及調適措施，提升整體對氣候相關風險之管理。,Clear
10368,2024 年董事會、審計委員會及薪資報酬委員會個別董事績效評估結果皆為優良，並已於 2025 年 1 月 21 日向董事會報告。而近期董事績效外部評估已於 2024 年第 4 季委託財團法人台灣誠正經營學會執行 2024 年董事會績效評估，分別就董事會之決策效能、專業職能、內部控制、永續經營及社會責任等面向，以問卷及實地訪談等方式評估董事會效能，整體評估結果顯示，董事會運作良好，預計下次外部評估於 2027 年執行。目前董事績效評估與薪酬之決定仍著重於 ESG 發展中的公司治理 (G) 面向的績效，未來將逐漸推廣至環境 (E) 與社會 (S) 指標，預計於 2025 年董事外部績效評估納入永續指標。,G,Yes,預計於 2025 年董事外部績效評估納入永續指標。,within_2_years,Yes,2024 年董事會、審計委員會及薪資報酬委員會個別董事績效評估結果皆為優良，並已於 2025 年 1 月 21 日向董事會報告。而近期董事績效外部評估已於 2024 年第 4 季委託財團法人台灣誠正經營學會執行 2024 年董事會績效評估，分別就董事會之決策效能、專業職能、內部控制、永續經營及社會責任等面向，以問卷及實地訪談等方式評估董事會效能，整體評估結果顯示，董事會運作良好，預計下次外部評估於 2027 年執行。目前董事績效評估與薪酬之決定仍著重於 ESG 發展中的公司治理 (G) 面向的績效，未來將逐漸推廣至環境 (E) 與社會 (S) 指標，,Clear
10369,正面：落實供應商永續管理及 ESG 評核機制，提升供應商 ESG 意識和管理作為  負面：若無完善的經濟、環境及社會標準進行供應商遴選與管理機制，將可能發生供應鏈管理不當,G,Yes,落實供應商永續管理及 ESG 評核機制，提升供應商 ESG 意識和管理作為,between_2_and_5_years,No,,N/A
10370,為降低原物料使用對環境與社會的負面影響，研華制定「有害物質削減計畫」及「永續原物料管理政策」，以落實永續採購並優化供應鏈管理效率，進一步貢獻於 2050 年淨零碳排放目標的實現。我們依據該政策，在研發、採購、生產、營運與服務等各項業務活動中，優先採用對環境與社會衝擊最小的原物料。,S,Yes,研華制定「有害物質削減計畫」及「永續原物料管理政策」，以落實永續採購並優化供應鏈管理效率，進一步貢獻於 2050 年淨零碳排放目標的實現。,longer_than_5_years,Yes,我們依據該政策，在研發、採購、生產、營運與服務等各項業務活動中，優先採用對環境與社會衝擊最小的原物料。,Clear
10371,透過問卷蒐集各永續議題之正、負面情境下之「發生可能性」與「衝擊程度評估」分數進行分析，並依「正負面衝擊」結果繪製矩陣圖。,E,No,,N/A,No,,N/A
10372,"我們積極研擬推動節能減碳的可行方案，響應綠色能源政策，減少對環境衝擊，追求與環境永續平衡發展。陸續於凱基證券大直大樓、金控總部大樓、凱基銀行高雄、赤崁及東門三家分行導入ISO 50001能源管理系統且維持證書有效性，致力於提升能源績效同時降低排放量。2024年凱基金控購置使用8,816.28仟度綠電，以及自發自用82.04仟度綠電，全年度共使用8,898.32仟度綠電，約占凱基金控總用電19.9%，相當減少4,395.77公噸碳排放。",E,Yes,我們積極研擬推動節能減碳的可行方案，響應綠色能源政策，減少對環境衝擊，追求與環境永續平衡發展。,between_2_and_5_years,Yes,"陸續於凱基證券大直大樓、金控總部大樓、凱基銀行高雄、赤崁及東門三家分行導入ISO 50001能源管理系統且維持證書有效性，致力於提升能源績效同時降低排放量。2024年凱基金控購置使用8,816.28仟度綠電，以及自發自用82.04仟度綠電，全年度共使用8,898.32仟度綠電，約占凱基金控總用電19.9%，相當減少4,395.77公噸碳排放。",Clear
10373,過去四年，AI 為全世界帶來巨大的改變，時至今日依然還在持續演進中，相信在人類的進步史中 AI 必然成為一股很重要的推力。我們一直思考的事是，公司怎麼運用自身的強項再創造出更高效率、低耗能的架構，讓 AI 運算中心基礎建設可以兼顧永續與韌性。現在智邦創新基地，已開發出散熱、光傳輸、AI 運算中心組網方式等等相關先進技術，希望能與全球各地頂尖合作夥伴分享，並共同努力加速創新技術的發展。,S,Yes,希望能與全球各地頂尖合作夥伴分享，並共同努力加速創新技術的發展。,between_2_and_5_years,No,,N/A
10374,中華電信遵循公司治理的精神進行制度與措施變革及修正，包括：實施電子投票制度、股東會議案採逐案表決及在官方網站揭露全部議案的表決結果等，提供股東多元的議事參與管道，充分讓股東行使其權利，具體提升公司治理成效。,G,Yes,中華電信遵循公司治理的精神進行制度與措施變革及修正，包括：實施電子投票制度、股東會議案採逐案表決及在官方網站揭露全部議案的表決結果等，提供股東多元的議事參與管道，充分讓股東行使其權利，具體提升公司治理成效。,already,No,,N/A
10375,"自 2023 年 7 月起未申請電子保單之客戶，也可選擇該次變更批註以電子文件寄送，客戶可即時收到變更完成之批註文件，免除業務同仁遞送往返及變更資訊安全，亦大幅減少紙張用量。於 2024 年已有 255,375 件變更批註文件以電子文件寄送，已減少 1,096,661 張紙，減少碳排量約 23,731 公斤。",E,Yes,自 2023 年 7 月起未申請電子保單之客戶，也可選擇該次變更批註以電子文件寄送，,already,Yes,"於 2024 年已有 255,375 件變更批註文件以電子文件寄送，已減少 1,096,661 張紙，減少碳排量約 23,731 公斤。",Clear
10376,台新以「認真永續、綠色生活」為主軸，力倡 From Zero to Hero，人人都 能成為化解氣候危機的英雄。我們採取以下主要行動來確保達成自身營運的淨零排放。,E,Yes,力倡 From Zero to Hero，人人都 能成為化解氣候危機的英雄。,between_2_and_5_years,No,,N/A
10377,合庫證券各營業據點 2022 年取得衛福部「失智友善標章」，除全臺營業據點為高齡者、身心障礙人士設置高齡及無障礙服務專區外，並配置具合格急救證照之服務人員，同時提供高齡客戶老花眼鏡及血壓計使用，臨櫃服務時亦主動關心高齡及身心障礙客戶，營業櫃檯高度更以適合輪椅長者書寫文件進行規劃，並提供各項敬老諮詢服務，如需叫車、借用輪椅時，將派專人協助服務。,S,Yes,除全臺營業據點為高齡者、身心障礙人士設置高齡及無障礙服務專區外，並配置具合格急救證照之服務人員，同時提供高齡客戶老花眼鏡及血壓計使用，臨櫃服務時亦主動關心高齡及身心障礙客戶，營業櫃檯高度更以適合輪椅長者書寫文件進行規劃，並提供各項敬老諮詢服務，如需叫車、借用輪椅時，將派專人協助服務。,already,Yes,合庫證券各營業據點 2022 年取得衛福部「失智友善標章」，,Clear
10378,光寶的離職率主要來自直接人員（含產線作業員及與生產相關協作人員），並以中國大陸員工為主。未來我們將透過數位智能發展整合智慧製造與自動化作業，以取代直接人員之自然流失人力，並提升人均產值，以降低人力流動所帶來的影響。請參見附錄 137 頁。,S,Yes,未來我們將透過數位智能發展整合智慧製造與自動化作業，以取代直接人員之自然流失人力，,between_2_and_5_years,Yes,並提升人均產值，以降低人力流動所帶來的影響。,Clear
10379,就本公司集團併購案件之策略評估，並報告董事會。為落實本公司集團永續經營，除具體併購案件的討論外，並定期於併購策略委員會討論集團整體併購策略，借重董事之多元專業，俾利公司短、中、長期目標及永續發展目標之達成。本委員會之設置不影響本公司審計委員會職權之行使，依相關法令應由審計委員會依法令審議之。,G,Yes,為落實本公司集團永續經營，除具體併購案件的討論外，並定期於併購策略委員會討論集團整體併購策略，借重董事之多元專業，俾利公司短、中、長期目標及永續發展目標之達成。,between_2_and_5_years,No,,N/A
10380,展望 2025 年，我們將持續擁抱 AI 與永續的雙軸轉型，拓展各種具體且積極帶來影響力的解方，讓 ESG 文化對企業內部與對外社會大眾，皆能深化正確觀念與實踐真正的改變，讓世界邁向更具韌性的永續未來。,S;G,Yes,我們將持續擁抱 AI 與永續的雙軸轉型，拓展各種具體且積極帶來影響力的解方，讓 ESG 文化對企業內部與對外社會大眾，皆能深化正確觀念與實踐真正的改變，讓世界邁向更具韌性的永續未來。,within_2_years,No,,N/A
10381,"參與誠信經營內部教育訓練人數 836 人，上課時數共約為 6,688 小時（含其他新人訓練課程時數）。",G,No,,N/A,No,,N/A
10382,以核心機會的成熟度結果為基礎，規劃具體可行的行動方案。根據各行動方案的重要性與實施複雜度進行排序與分級，規劃階段性推動策略，並訂定內外部對應之短、中、長期目標，優先採用可量化指標進行後續追蹤與成效管理。,G,Yes,規劃階段性推動策略，並訂定內外部對應之短、中、長期目標，,between_2_and_5_years,No,,N/A
10383,持續於每季法人說明會及超過 200 場投資人會議中向投資人溝通業務發展策略、競爭優勢、獲利表現及 ESG 作為。導入氣候相關財務揭露 (TCFD)、通過 ISO14064-1 溫室氣體排放查證。2023 年起將減碳相關績效指標與高階主管績效 KPI 連結。承諾於 2050 年在自身營運範圍內之溫室氣體盤查，範疇一與範疇二達成淨零。,E,Yes,承諾於 2050 年在自身營運範圍內之溫室氣體盤查，範疇一與範疇二達成淨零。,longer_than_5_years,Yes,導入氣候相關財務揭露 (TCFD)、通過 ISO14064-1 溫室氣體排放查證。2023 年起將減碳相關績效指標與高階主管績效 KPI 連結。,Clear
10384,長榮航空應用風險管理的方法論，經由空地勤安全教育與訓練的全面推廣，培養同仁安全意識、情境認知及落實標準的執行力，以「積極主動」及「前瞻預測」的態度來掌握作業及系統面的危害，並在第一時間採行有效的風險緩解措施以管控風險。在 SMS 的實務作業上，長榮航空推動「七化運動」作為全體同仁執行 SMS 的作業邏輯，闡述法規、政策、程序、文件、標準、行動、結果等七個執行階段的關聯，以期各項作業結果都能達成組織既定的目標。,S,Yes,長榮航空應用風險管理的方法論，經由空地勤安全教育與訓練的全面推廣，培養同仁安全意識、情境認知及落實標準的執行力，以「積極主動」及「前瞻預測」的態度來掌握作業及系統面的危害，並在第一時間採行有效的風險緩解措施以管控風險。,already,No,,N/A
10385,### 無鹵管制規範    因應全球環保意識抬頭，加上歐盟實施 RoHS 環保規章日益競爭激烈的產業環境，台光電子發展至今已成為全球第一大無鹵素環保材料 HDI PCB 板供應商，更積極延伸開發無鹵素環保材料產品線至 5G 及網通基礎設施與汽車相關應用，並持續拓展各廠重點利基產品，以提高產品附加價值及開創高附加價值產品，發展銷售藍海市場。此外為提供客戶最新產品訊息，透過公司網站頁面，展示產品開發成果。,E,Yes,台光電子發展至今已成為全球第一大無鹵素環保材料 HDI PCB 板供應商，更積極延伸開發無鹵素環保材料產品線至 5G 及網通基礎設施與汽車相關應用，,already,Yes,並持續拓展各廠重點利基產品，以提高產品附加價值及開創高附加價值產品，發展銷售藍海市場。此外為提供客戶最新產品訊息，透過公司網站頁面，展示產品開發成果。,Clear
10386,台積公司運用人工智慧及雲原生技術，實現智慧工廠、數位化與自動化工作流程。為吸引優秀學子參與半導體製造的數位轉型，與國立陽明交通大學資訊工程學系合作，推出「雲原生軟體開發與最佳實踐」的研究所課程，並進一步擴展至國立臺灣大學資訊工程學系與資訊管理學系。截至民國 113 年，2 校共計開設 4 班次，累計 508 名學子修課，致力成為資訊教育的領航者。,S,Yes,致力成為資訊教育的領航者。,already,Yes,與國立陽明交通大學資訊工程學系合作，推出「雲原生軟體開發與最佳實踐」的研究所課程，並進一步擴展至國立臺灣大學資訊工程學系與資訊管理學系。截至民國 113 年，2 校共計開設 4 班次，累計 508 名學子修課，,Clear
10387,"依據美國國家標準暨技術研究院 (NIST, National Institute of Standards and Technology) 標準建立企業資安框架，設置對應的度量指標。要求員工遵守資安規定（如嚴格管制行動儲存裝置）、遵循 SOP 作業程序，並不斷地進行「計劃－實施－查核－行動」(PDCA, Plan-Do-Check-Act) 循環以持續改善。每年兩次對資訊安全管理系統進行內部稽核，稽核結果的發現與建議事項持續進行修正與改進，以確保相關控制措施的有效性及符合法規要求，從而降低潛在的安全風險。",G,Yes,建立企業資安框架，設置對應的度量指標。要求員工遵守資安規定、遵循 SOP 作業程序，並不斷地進行「計劃－實施－查核－行動」(PDCA) 循環以持續改善。,already,Yes,每年兩次對資訊安全管理系統進行內部稽核，稽核結果的發現與建議事項持續進行修正與改進，以確保相關控制措施的有效性及符合法規要求，從而降低潛在的安全風險。,Clear
